SeqOrder,sourceID,timediff,PTAB,BodyGroup_from,BodyGroup_to
18,8,124.0,-754950,10,10
19,4,124.0,-779350,10,10
20,5,130.0,-779350,10,10
21,7,132.0,-779350,10,10
22,2,158.0,-779350,10,10
0,10,158.0,-779350,10,10
1,11,0.0,-779350,10,1
2,6,5.0,-779350,10,1
3,4,9.0,-1567100,10,1
4,5,18.0,-1567100,10,1
5,1,25.0,-1567100,10,1
6,1,26.0,-1567100,10,1
7,5,43.0,-1567100,10,1
8,5,92.0,-1567100,10,1
9,4,93.0,250,10,1
10,1,93.0,250,10,1
11,5,94.0,250,10,1
12,1,95.0,250,10,1
13,1,136.0,250,10,1
14,4,188.0,-200,10,1
15,5,190.0,-200,10,1
16,4,196.0,-9400,10,1
17,13,200.0,-9400,10,1
18,5,200.0,-9400,10,1
19,4,201.0,-564150,10,1
20,9,201.0,-564150,10,1
21,5,203.0,-564150,10,1
22,8,203.0,-564150,10,1
23,4,204.0,-576200,10,1
24,5,209.0,-576200,10,1
25,7,226.0,-576200,10,1
26,4,259.0,-1355100,10,1
27,5,259.0,-1355100,10,1
0,10,274.0,-1355100,10,1
1,11,0.0,-1355100,1,1
2,6,51.0,-1355100,1,1
3,4,56.0,-1472900,1,1
4,5,65.0,-1472900,1,1
5,1,128.0,-1472900,1,1
6,1,130.0,-1472900,1,1
7,5,145.0,-1472900,1,1
8,5,149.0,-1472900,1,1
9,5,156.0,-1472900,1,1
10,5,193.0,-1472900,1,1
11,4,194.0,650,1,1
12,5,194.0,650,1,1
13,1,333.0,650,1,1
14,1,335.0,650,1,1
15,13,389.0,650,1,1
16,4,390.0,-450,1,1
17,9,390.0,-450,1,1
18,5,394.0,-450,1,1
19,8,396.0,-450,1,1
20,4,397.0,-702900,1,1
21,5,402.0,-702900,1,1
22,7,407.0,-702900,1,1
23,4,414.0,-1482150,1,1
24,5,415.0,-1482150,1,1
25,13,431.0,-1482150,1,1
0,10,431.0,-1482150,1,1
1,11,0.0,-1482150,1,1
2,6,6.0,-1482150,1,1
3,4,12.0,-1757100,1,1
4,5,22.0,-1757100,1,1
5,1,36.0,-1757100,1,1
6,5,54.0,-1757100,1,1
7,5,91.0,-1757100,1,1
8,4,91.0,300,1,1
9,5,93.0,300,1,1
10,1,96.0,300,1,1
11,4,123.0,150,1,1
12,5,132.0,150,1,1
13,7,136.0,150,1,1
14,13,145.0,150,1,1
15,9,146.0,150,1,1
16,4,155.0,-1415150,1,1
17,5,156.0,-1415150,1,1
18,13,160.0,-1415150,1,1
0,10,188.0,-1415150,1,1
1,11,0.0,-1415150,1,2
2,6,5.0,-1415150,1,2
3,4,10.0,-1538100,1,2
4,5,19.0,-1538100,1,2
5,1,30.000000000000004,-1538100,1,2
6,5,36.0,-1538100,1,2
7,1,59.00000000000001,-1538100,1,2
8,4,107.0,950,1,2
9,5,108.0,950,1,2
10,5,117.0,950,1,2
11,5,126.0,950,1,2
12,5,134.0,950,1,2
13,4,153.0,50,1,2
14,5,154.0,50,1,2
15,5,163.0,50,1,2
16,4,163.0,-1200,1,2
17,5,164.0,-1200,1,2
18,1,190.0,-1200,1,2
19,4,212.0,400,1,2
20,5,216.0,400,1,2
21,4,217.0,-362000,1,2
22,5,218.0,-362000,1,2
23,8,230.00000000000003,-362000,1,2
24,4,231.00000000000003,-318900,1,2
25,5,236.00000000000003,-318900,1,2
26,7,241.00000000000003,-318900,1,2
27,13,261.0,-318900,1,2
28,9,261.0,-318900,1,2
29,2,280.0,-318900,1,2
0,10,280.0,-318900,1,2
1,11,0.0,-318900,2,6
2,6,6.0,-318900,2,6
3,4,11.0,-1097900,2,6
4,5,18.0,-1097900,2,6
5,5,30.000000000000004,-1097900,2,6
6,1,34.0,-1097900,2,6
7,1,53.0,-1097900,2,6
8,5,72.0,-1097900,2,6
9,4,86.0,500,2,6
10,5,87.0,500,2,6
11,5,99.0,500,2,6
12,1,112.0,500,2,6
13,4,127.0,-200,2,6
14,5,135.0,-200,2,6
15,7,142.0,-200,2,6
16,13,157.0,-200,2,6
17,9,158.0,-200,2,6
18,2,174.0,-200,2,6
0,10,174.0,-200,2,6
1,11,0.0,-200,6,3
2,6,41.0,-200,6,3
3,4,45.0,-1495300,6,3
4,5,54.0,-1495300,6,3
5,5,66.0,-1495300,6,3
6,1,76.0,-1495300,6,3
