Sequence,Step,SourceID,Predicted_Proportion,Predicted_Increment,Predicted_Cumulative,GroundTruth_Increment,GroundTruth_Cumulative,LSTM_Predicted_TotalTime,LSTM_Predicted_Increment,LSTM_Predicted_Cumulative,Increment_MAE_Transformer,Increment_MAE_LSTM,Increment_Improvement_Pct,Cumulative_MAE_Transformer,Cumulative_MAE_LSTM,Cumulative_Improvement_Pct
0,1,MRI_MSR_104,0.007874016,2.3937008,4.7874017,14.0,14.0,,5.5880675,5.5880675,11.6062992,8.411932468414307,27.522698463483465,9.2125983,8.411932468414307,8.690988204551294
0,2,MRI_FRR_257,0.039370075,11.968503,16.755905,10.0,24.0,,27.940336,33.528404,1.9685030000000001,17.940336227416992,-811.369514164672,7.2440950000000015,9.528404235839844,-31.53339700597303
0,3,MRI_FRR_264,0.023622047,7.1811023,23.937008,9.0,33.0,,16.764202,50.292606,1.8188977,7.764202117919922,-326.86304556435044,9.062992000000001,17.292606353759766,-90.80460794580601
0,4,MRI_MPT_1005,0.07086614,21.543306,45.480316,24.0,57.0,,50.29261,100.58522,2.456693999999999,26.29261016845703,-970.2435943775271,11.519683999999998,43.58522033691406,-278.35430500449553
0,5,MRI_CCS_11,0.05511811,16.755905,62.23622,6.0,63.0,,39.116474,139.70169,10.755904999999998,33.11647415161133,-207.89109936924262,0.763779999999997,76.70169067382812,-9942.38009293624
0,6,MRI_FRR_264,0.07086614,21.543306,83.779526,116.0,179.0,,50.29261,189.9943,94.456694,65.70738983154297,30.43649205895035,95.220474,10.994293212890625,88.45385582423101
0,7,MRI_FRR_257,0.24409448,74.20472,157.98425,2.0,181.0,,173.23009,363.22437,72.20472,171.23008728027344,-137.1452825802433,23.015749999999997,182.224365234375,-691.7376806507501
0,8,MRI_FRR_264,0.007874016,2.3937008,160.37796,13.0,194.0,,5.5880675,368.81244,10.6062992,7.411932468414307,30.11763737143766,33.62204,174.81243896484375,-419.93406397959126
0,9,MRI_FRR_264,0.11811023,35.90551,196.28348,16.0,210.0,,83.821014,452.63345,19.90551,67.82101440429688,-240.71477899484552,13.716520000000003,242.63345336914062,-1668.914078564684
0,10,MRI_CCS_11,0.007874016,2.3937008,198.67719,41.0,251.0,,5.5880675,458.22153,38.6062992,35.41193246841431,8.274211198118921,52.322810000000004,207.22152709960938,-296.0443391698752
0,11,MRI_FRR_257,0.007874016,2.3937008,201.07089,5.0,256.0,,5.5880675,463.8096,2.6062992,0.5880675315856934,77.43668372435162,54.92911000000001,207.80960083007812,-278.3232621647758
0,12,MRI_FRR_264,0.007874016,2.3937008,203.4646,0.0,256.0,,5.5880675,469.39767,2.3937008,5.588067531585693,-133.44887262375036,52.53540000000001,213.39767456054688,-306.19786764837966
0,13,MRI_FRR_257,0.007874016,2.3937008,205.8583,1.0,257.0,,5.5880675,474.98575,1.3937008,4.588067531585693,-229.2003227368237,51.141699999999986,217.98574829101562,-326.23876071975644
0,14,MRI_FRR_264,0.007874016,2.3937008,208.25201,0.0,257.0,,5.5880675,480.57382,2.3937008,5.588067531585693,-133.44887262375036,48.74798999999999,223.57382202148438,-358.6318779943223
0,15,MRI_FRR_257,0.007874016,2.3937008,210.64572,4.0,261.0,,5.5880675,486.1619,1.6062992,1.5880675315856934,1.1350107386162351,50.35427999999999,225.16189575195312,-347.1554270102823
0,16,MRI_FRR_264,0.007874016,2.3937008,213.03943,0.0,261.0,,5.5880675,491.74997,2.3937008,5.588067531585693,-133.44887262375036,47.96056999999999,230.74996948242188,-381.1243266758963
0,17,MRI_FRR_257,0.007874016,2.3937008,215.43314,1.0,262.0,,5.5880675,497.33804,1.3937008,4.588067531585693,-229.2003227368237,46.56685999999999,235.33804321289062,-405.37666317396247
0,18,MRI_FRR_264,0.007874016,2.3937008,217.82684,1.0,263.0,,5.5880675,502.92612,1.3937008,4.588067531585693,-229.2003227368237,45.173159999999996,239.92611694335938,-431.1253783072944
0,19,MRI_FRR_34,0.007874016,2.3937008,220.22055,0.0,263.0,,5.5880675,508.5142,2.3937008,5.588067531585693,-133.44887262375036,42.77945,245.51419067382812,-473.90684235965665
0,20,MRI_FRR_257,0.007874016,2.3937008,222.61426,6.0,269.0,,5.5880675,514.10223,3.6062992,0.41193246841430664,88.57741841236283,46.38574,245.10223388671875,-428.39996491749133
0,21,MRI_FRR_264,0.07086614,21.543306,244.15756,35.0,304.0,,50.29261,564.39484,13.456693999999999,15.292610168457031,-13.643144211030084,59.84244000000001,260.39483642578125,-335.1340560742196
0,22,MRI_MSR_100,0.19685039,59.842518,304.0001,-304.0,0.0,704.0964965820312,139.70169,704.09656,363.842518,443.7016906738281,-21.948829156307713,304.0001,704.0965576171875,-131.6106335547875
1,1,MRI_MSR_104,0.017857144,6.5535717,13.107143,41.0,41.0,,14.909047,14.909047,34.4464283,26.09095287322998,24.2564348152462,27.892857,26.09095287322998,6.4600916527482966
1,2,MRI_FRR_257,0.08928571,32.767857,45.875,8.0,49.0,,74.54523,89.45428,24.767857,66.54522705078125,-168.67575604454294,3.125,40.45427703857422,-1194.536865234375
1,3,MRI_FRR_264,0.05357143,19.660715,65.53571,10.0,59.0,,44.72714,134.18141,9.660715,34.72713851928711,-259.46758101535045,6.535709999999995,75.18141174316406,-1050.3174367155846
1,4,MRI_CCS_11,0.017857144,6.5535717,72.08929,4.0,63.0,,14.909047,149.09045,2.5535717,10.90904712677002,-327.20739451999805,9.089290000000005,86.0904541015625,-847.16368496948
