date,day_of_week,day_of_year,num_sessions,session_start_times,machine_id
2024-04-16,1,107,41,"[22539, 23174, 24745, 25669, 26832, 27842, 29146, 30797, 32113, 33519, 34875, 36418, 37720, 39922, 41030, 42615, 45119, 47575, 49708, 50810, 52058, 53177, 54589, 56241, 57630, 59317, 60734, 61509, 63753, 64926, 67390, 68973, 70645, 71730, 73006, 73753, 74373, 75025, 75586, 76111, 76558]",189541
2024-04-17,2,108,37,"[22776, 23316, 24041, 24633, 25404, 27280, 29540, 30571, 31689, 33024, 34343, 35598, 37315, 38525, 39841, 42364, 43416, 44921, 46532, 48472, 52068, 53310, 54873, 57700, 58239, 60453, 63944, 67307, 69151, 70624, 71575, 73244, 74153, 74834, 75457, 76109, 76881]",189541
2024-04-18,3,109,23,"[22571, 23393, 24154, 25445, 55315, 57819, 58979, 61428, 62041, 62959, 64726, 65653, 66839, 67907, 68970, 70617, 71935, 73191, 73898, 74573, 75163, 75658, 76313]",189541
2024-04-16,1,107,44,"[26784, 27415, 28122, 28792, 29652, 30299, 31044, 31645, 32355, 33060, 33661, 34276, 35430, 36754, 38427, 40219, 42040, 44224, 45308, 46491, 47927, 49978, 50687, 51748, 52807, 53711, 55143, 55980, 57288, 58168, 58854, 60525, 61823, 62818, 63750, 65041, 65761, 66487, 67235, 67931, 68613, 69284, 69960, 70725]",189701
2024-04-17,2,108,37,"[27135, 27770, 29289, 30538, 31767, 33349, 35216, 37145, 38407, 40464, 42249, 44369, 45776, 47028, 48785, 49705, 50938, 52289, 52912, 54064, 55292, 56234, 56906, 57742, 58429, 59690, 61052, 62542, 63270, 64035, 64679, 65333, 66023, 66805, 67818, 68698, 69551]",189701
2024-04-18,3,109,29,"[27832, 28790, 29969, 32207, 33878, 35299, 36394, 37637, 39041, 40010, 42093, 43457, 44170, 45614, 46931, 48641, 50654, 52256, 54946, 56654, 58172, 59605, 61118, 62720, 64215, 65812, 66679, 68516, 69388]",189701
2024-04-16,1,107,41,"[29699, 31146, 32187, 33343, 34370, 35229, 36397, 37414, 38424, 39360, 40369, 41262, 42077, 42941, 43841, 44739, 45882, 46892, 47987, 48915, 49890, 50989, 52053, 52954, 54018, 55602, 56531, 57903, 58918, 59775, 60662, 61642, 62413, 63431, 64457, 65372, 66246, 67343, 68257, 69037, 69722]",189779
2024-04-17,2,108,41,"[29964, 30813, 31822, 32617, 33638, 35466, 36585, 38017, 39187, 40419, 41283, 43146, 44226, 45202, 46000, 46727, 47426, 48143, 49058, 49949, 50676, 51682, 52545, 54084, 55244, 56163, 56964, 57829, 58579, 59491, 60331, 61290, 62441, 63392, 64181, 65282, 66322, 67248, 68027, 68947, 69943]",189779
2024-04-18,3,109,43,"[29944, 30983, 31904, 32659, 33604, 34571, 35377, 36342, 37708, 38680, 39566, 40329, 41233, 42110, 42981, 43778, 44514, 45451, 46523, 47491, 48458, 49844, 51007, 51982, 52847, 53864, 54740, 55582, 56592, 57459, 58340, 59155, 60070, 61148, 61834, 62694, 63584, 64493, 65366, 66526, 67251, 68181, 69297]",189779
2024-04-19,4,110,29,"[29266, 29945, 31075, 32495, 33363, 34155, 35095, 36179, 37184, 37932, 38919, 39681, 40351, 41052, 42144, 44046, 45024, 46407, 47200, 48869, 51200, 52147, 52906, 53733, 54932, 55913, 56690, 57524, 59694]",189779
