SeqOrder,sourceID,timediff,PTAB,BodyGroup_from,BodyGroup_to,Position_encoded,Direction_encoded,true_total_time
6,5,173.0,450,10,8,0,0,325.0
6,5,184.0,450,10,8,0,0,325.0
6,5,185.0,450,10,8,0,0,325.0
6,1,248.00000000000003,450,10,8,0,0,325.0
6,1,252.00000000000003,450,10,8,0,0,325.0
6,4,278.0,-50,10,8,0,0,325.0
6,5,288.0,-50,10,8,0,0,325.0
6,7,290.0,-50,10,8,0,0,325.0
6,15,303.0,-50,10,8,0,0,325.0
6,9,304.0,-50,10,8,0,0,325.0
6,4,310.0,-1707100,10,8,0,0,325.0
6,5,312.0,-1707100,10,8,0,0,325.0
6,10,325.0,-1707100,10,8,0,0,325.0
7,11,0.0,-1707100,8,10,0,0,294.0
7,6,6.0,-1707100,8,10,0,0,294.0
7,4,11.0,-1714050,8,10,0,0,294.0
7,5,21.0,-1714050,8,10,0,0,294.0
7,1,29.000000000000004,-1714050,8,10,0,0,294.0
7,1,30.000000000000004,-1714050,8,10,0,0,294.0
7,5,43.0,-1714050,8,10,0,0,294.0
7,5,130.0,-1714050,8,10,0,0,294.0
7,1,167.0,-1714050,8,10,0,0,294.0
7,1,169.0,-1714050,8,10,0,0,294.0
7,1,180.0,-1714050,8,10,0,0,294.0
7,1,181.0,-1714050,8,10,0,0,294.0
7,15,244.00000000000003,-1714050,8,10,0,0,294.0
7,9,244.00000000000003,-1714050,8,10,0,0,294.0
7,4,260.0,150,8,10,0,0,294.0
7,5,270.0,150,8,10,0,0,294.0
7,7,279.0,150,8,10,0,0,294.0
7,10,294.0,150,8,10,0,0,294.0
8,11,0.0,150,10,10,0,0,175.0
8,6,29.000000000000004,150,10,10,0,0,175.0
8,4,38.0,-1456850,10,10,0,0,175.0
8,5,47.0,-1456850,10,10,0,0,175.0
8,5,51.0,-1456850,10,10,0,0,175.0
8,5,60.00000000000001,-1456850,10,10,0,0,175.0
8,1,60.00000000000001,-1456850,10,10,0,0,175.0
8,1,70.0,-1456850,10,10,0,0,175.0
8,1,92.0,-1456850,10,10,0,0,175.0
8,1,93.0,-1456850,10,10,0,0,175.0
8,4,107.0,300,10,10,0,0,175.0
8,5,109.0,300,10,10,0,0,175.0
8,15,119.0,300,10,10,0,0,175.0
8,5,119.0,300,10,10,0,0,175.0
8,9,120.0,300,10,10,0,0,175.0
8,6,131.0,300,10,10,0,0,175.0
8,1,148.0,300,10,10,0,0,175.0
8,4,155.0,-100,10,10,0,0,175.0
8,5,162.0,-100,10,10,0,0,175.0
8,6,164.0,-100,10,10,0,0,175.0
8,7,165.0,-100,10,10,0,0,175.0
8,2,175.0,-100,10,10,0,0,175.0
8,10,175.0,-100,10,10,0,0,175.0
9,11,0.0,-100,10,10,0,0,158.0
9,6,3.0,-100,10,10,0,0,158.0
9,4,11.0,-1132050,10,10,0,0,158.0
9,5,18.0,-1132050,10,10,0,0,158.0
9,1,22.0,-1132050,10,10,0,0,158.0
9,5,30.000000000000004,-1132050,10,10,0,0,158.0
9,5,38.0,-1132050,10,10,0,0,158.0
9,1,47.0,-1132050,10,10,0,0,158.0
9,1,48.0,-1132050,10,10,0,0,158.0
9,5,83.0,-1132050,10,10,0,0,158.0
9,1,105.0,-1132050,10,10,0,0,158.0
9,4,115.0,100,10,10,0,0,158.0
9,15,120.0,100,10,10,0,0,158.0
9,5,120.0,100,10,10,0,0,158.0
9,9,121.0,100,10,10,0,0,158.0
9,4,122.0,-754950,10,10,0,0,158.0
9,5,123.0,-754950,10,10,0,0,158.0
9,8,124.0,-754950,10,10,0,0,158.0
9,4,124.0,-779350,10,10,0,0,158.0
9,5,130.0,-779350,10,10,0,0,158.0
9,7,132.0,-779350,10,10,0,0,158.0
9,2,158.0,-779350,10,10,0,0,158.0
9,10,158.0,-779350,10,10,0,0,158.0
10,11,0.0,-779350,10,1,0,0,274.0
10,6,5.0,-779350,10,1,0,0,274.0
10,4,9.0,-1567100,10,1,0,0,274.0
10,5,18.0,-1567100,10,1,0,0,274.0
10,1,25.0,-1567100,10,1,0,0,274.0
10,1,26.0,-1567100,10,1,0,0,274.0
10,5,43.0,-1567100,10,1,0,0,274.0
10,5,92.0,-1567100,10,1,0,0,274.0
10,4,93.0,250,10,1,0,0,274.0
10,1,93.0,250,10,1,0,0,274.0
10,5,94.0,250,10,1,0,0,274.0
10,1,95.0,250,10,1,0,0,274.0
10,1,136.0,250,10,1,0,0,274.0
10,4,188.0,-200,10,1,0,0,274.0
10,5,190.0,-200,10,1,0,0,274.0
10,4,196.0,-9400,10,1,0,0,274.0
10,15,200.0,-9400,10,1,0,0,274.0
10,5,200.0,-9400,10,1,0,0,274.0
10,4,201.0,-564150,10,1,0,0,274.0
10,9,201.0,-564150,10,1,0,0,274.0
10,5,203.0,-564150,10,1,0,0,274.0
10,8,203.0,-564150,10,1,0,0,274.0
10,4,204.0,-576200,10,1,0,0,274.0
10,5,209.0,-576200,10,1,0,0,274.0
10,7,226.0,-576200,10,1,0,0,274.0
10,4,259.0,-1355100,10,1,0,0,274.0
10,5,259.0,-1355100,10,1,0,0,274.0
10,10,274.0,-1355100,10,1,0,0,274.0
11,11,0.0,-1355100,1,1,0,0,431.0
11,6,51.0,-1355100,1,1,0,0,431.0
11,4,56.0,-1472900,1,1,0,0,431.0
11,5,65.0,-1472900,1,1,0,0,431.0
11,1,128.0,-1472900,1,1,0,0,431.0
11,1,130.0,-1472900,1,1,0,0,431.0
11,5,145.0,-1472900,1,1,0,0,431.0
11,5,149.0,-1472900,1,1,0,0,431.0
11,5,156.0,-1472900,1,1,0,0,431.0
11,5,193.0,-1472900,1,1,0,0,431.0
11,4,194.0,650,1,1,0,0,431.0
11,5,194.0,650,1,1,0,0,431.0
11,1,333.0,650,1,1,0,0,431.0
11,1,335.0,650,1,1,0,0,431.0
11,15,389.0,650,1,1,0,0,431.0
11,4,390.0,-450,1,1,0,0,431.0
11,9,390.0,-450,1,1,0,0,431.0
11,5,394.0,-450,1,1,0,0,431.0
11,8,396.0,-450,1,1,0,0,431.0
11,4,397.0,-702900,1,1,0,0,431.0
11,5,402.0,-702900,1,1,0,0,431.0
11,7,407.0,-702900,1,1,0,0,431.0
11,4,414.0,-1482150,1,1,0,0,431.0
11,5,415.0,-1482150,1,1,0,0,431.0
11,15,431.0,-1482150,1,1,0,0,431.0
11,10,431.0,-1482150,1,1,0,0,431.0
12,11,0.0,-1482150,1,1,0,0,188.0
12,6,6.0,-1482150,1,1,0,0,188.0
12,4,12.0,-1757100,1,1,0,0,188.0
12,5,22.0,-1757100,1,1,0,0,188.0
12,1,36.0,-1757100,1,1,0,0,188.0
12,5,54.0,-1757100,1,1,0,0,188.0
12,5,91.0,-1757100,1,1,0,0,188.0
12,4,91.0,300,1,1,0,0,188.0
12,5,93.0,300,1,1,0,0,188.0
12,1,96.0,300,1,1,0,0,188.0
12,4,123.0,150,1,1,0,0,188.0
12,5,132.0,150,1,1,0,0,188.0
12,7,136.0,150,1,1,0,0,188.0
12,15,145.0,150,1,1,0,0,188.0
12,9,146.0,150,1,1,0,0,188.0
12,4,155.0,-1415150,1,1,0,0,188.0
12,5,156.0,-1415150,1,1,0,0,188.0
12,15,160.0,-1415150,1,1,0,0,188.0
12,10,188.0,-1415150,1,1,0,0,188.0
13,11,0.0,-1415150,1,2,0,0,280.0
13,6,5.0,-1415150,1,2,0,0,280.0
13,4,10.0,-1538100,1,2,0,0,280.0
13,5,19.0,-1538100,1,2,0,0,280.0
13,1,30.000000000000004,-1538100,1,2,0,0,280.0
